, , RUN1, AllData

         GBM   GLM    RF
bio_1  0.013 0.000 0.022
bio_2  0.000 0.000 0.001
bio_3  0.384 0.939 0.153
bio_4  0.009 0.000 0.040
bio_8  0.010 0.157 0.032
bio_12 0.000 0.000 0.001
bio_15 0.005 0.000 0.008
bio_18 0.001 0.000 0.002

, , RUN2, AllData

         GBM   GLM    RF
bio_1  0.004 0.000 0.028
bio_2  0.000 0.000 0.000
bio_3  0.613 0.927 0.151
bio_4  0.005 0.000 0.037
bio_8  0.000 0.000 0.009
bio_12 0.000 0.000 0.003
bio_15 0.004 0.000 0.010
bio_18 0.001 0.000 0.003

, , RUN3, AllData

         GBM   GLM    RF
bio_1  0.002 0.000 0.011
bio_2  0.000 0.000 0.000
bio_3  0.011 0.000 0.115
bio_4  0.095 0.420 0.077
bio_8  0.014 0.000 0.008
bio_12 0.026 0.000 0.029
bio_15 0.003 0.230 0.001
bio_18 0.084 0.828 0.025

